SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE
Batna,Ouled Sellem,0,2001
Batna,Ouled Si Slimane,0,2001
Batna,Ouyoun El Assafir,0,2001
Batna,Ras El Aioun,0,2001
Batna,Rehbat,0,2001
Batna,Sefiane,0,2001
Batna,Seggana,0,2001
Batna,Seriana,0,2001
Batna,T Kout,0,2001
Batna,Talkhamt,0,2001
Batna,Taxlent,0,2001
Batna,Tazoult,3,2001
Batna,Teniet El Abed,0,2001
Batna,Tighanimine,0,2001
Batna,Tigharghar,0,2001
Batna,Tilatou,0,2001
Batna,Timgad,0,2001
Batna,Zanet El Beida,0,2001
Béchar,Abadla,0,2001
Béchar,Bechar,0,2001
Béchar,Beni Abbes,0,2001
Béchar,Beni Ikhlef,0,2001
Béchar,Beni Ounif,0,2001
Béchar,Boukais,0,2001
Béchar,El Ouata,0,2001
Béchar,Erg Ferradj,0,2001
Béchar,Igli,0,2001
Béchar,Kenadsa,0,2001
Béchar,Kerzaz,0,2001
Béchar,Ksabi,0,2001
Béchar,Lahmar,0,2001
Béchar,Mechraa Houari Boumediene,0,2001
Béchar,Meridja,0,2001
Béchar,Mogheul,0,2001
Béchar,Ouled Khoudir,0,2001
Béchar,Tabelbala,0,2001
Béchar,Taghit,0,2001
Béchar,Tamtert,0,2001
Béchar,Timoudi,0,2001
Béjaïa,Adekar,2,2001
Béjaïa,Ait R'Zine,0,2001
Béjaïa,Ait-Smail,0,2001
Béjaïa,Akbou,0,2001
Béjaïa,Akfadou,2,2001
Béjaïa,Amalou,0,2001
Béjaïa,Amizour,1,2001
Béjaïa,Aokas,1,2001
Béjaïa,Bejaia,6,2001
Béjaïa,Beni Dejllil,0,2001
Béjaïa,Beni K'Sila,21,2001
Béjaïa,Benimaouche,1,2001
Béjaïa,Beni-Mellikeche,0,2001
Béjaïa,Berbacha,1,2001
Béjaïa,Boudjellil,0,2001
Béjaïa,Bouhamza,0,2001
Béjaïa,Boukhlifa,2,2001
Béjaïa,Chellata,0,2001
Béjaïa,Chemini,0,2001
Béjaïa,Darguina,1,2001
Béjaïa,Draa El Caid,0,2001
Béjaïa,El Kseur,0,2001
Béjaïa,Feraoun,0,2001
Béjaïa,Ifelain Ilmathen,0,2001
Béjaïa,Ighil-Ali,0,2001
Béjaïa,Ighrem,1,2001
Béjaïa,Kendira,0,2001
Béjaïa,Kherrata,0,2001
Béjaïa,Melbou,3,2001
Béjaïa,Oued Ghir,1,2001
Béjaïa,Ouzzelaguen,1,2001
Béjaïa,Seddouk,0,2001
Béjaïa,Sidi Said,0,2001
Béjaïa,Smaoun,0,2001
Béjaïa,Souk El Tenine,0,2001
Béjaïa,Souk Oufella,0,2001
Béjaïa,Tala Hamza,2,2001
Béjaïa,Tamokra,0,2001
Béjaïa,Tamridjet,1,2001
Béjaïa,Taourit Ighil,4,2001
Béjaïa,Taskriout,0,2001
Béjaïa,Tazmalt,0,2001
Béjaïa,Tichy,3,2001
Béjaïa,Tifra,0,2001
Béjaïa,Timezrit,0,2001
Béjaïa,Tinedbar,0,2001
Béjaïa,Tizi-N'Berber,1,2001
Béjaïa,Toudja,22,2001
Biskra,Ain Naga,0,2001
Biskra,Ain Zaatout,0,2001
Biskra,Besbes,0,2001
Biskra,Biskra,0,2001
Biskra,Bordj Ben Azzouz,0,2001
Biskra,Bouchakroune,0,2001
Biskra,Branis,0,2001
Biskra,Chetma,0,2001
Biskra,Chouaiba|Ouled Rahma,0,2001
Biskra,Daoussen,0,2001
Biskra,Djamora,0,2001
Biskra,El Feidh,0,2001
Biskra,El Ghrous,0,2001
Biskra,El Hadjab,0,2001
Biskra,El Haouch,0,2001
Biskra,El Kentara,0,2001
Biskra,El Ouitaya,0,2001
Biskra,Foughala,0,2001
Biskra,Khenguet Sidi Nadji,0,2001
Biskra,Lichana,0,2001
Biskra,Lioua,0,2001
Biskra,M_Ziraa,0,2001
Biskra,Mechouneche,0,2001
Biskra,Mekhadma,0,2001
Biskra,M'Lili,0,2001
Biskra,Ouled Djellal,0,2001
Biskra,Oumache,0,2001
