SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE
Jijel,Chekfa,10,2007
Jijel,Djemaa Beni Habibi,0,2007
Jijel,Djemila,0,2007
Jijel,El Ancer,5,2007
Jijel,El Aouana,20,2007
Jijel,El Kennar Nouchfi,2,2007
Jijel,El Milia,50,2007
Jijel,Emir Abdelkader,3,2007
Jijel,Erraguene,4,2007
Jijel,Ghebala,11,2007
Jijel,Jijel,14,2007
Jijel,Kheir Oued Adjoul,0,2007
Jijel,Kouas,7,2007
Jijel,Oudjana,12,2007
Jijel,Ouled Rabah,0,2007
Jijel,Ouled Yahia Khadrouche,0,2007
Jijel,Selma Benziada,0,2007
Jijel,Settara,8,2007
Jijel,Sidi Abdelaziz,0,2007
Jijel,Sidi Marouf,0,2007
Jijel,Taher,0,2007
Jijel,Texenna,53,2007
Jijel,Ziama Mansouria,5,2007
Jijel,Bordj Tahar,1,2008
Jijel,Boudria Beniyadjis,12,2008
Jijel,Bouraoui Belhadef,3,2008
Jijel,Boussif Ouled Askeur,77,2008
Jijel,Chahna,7,2008
Jijel,Chekfa,4,2008
Jijel,Djemaa Beni Habibi,1,2008
Jijel,Djemila,2,2008
Jijel,El Ancer,2,2008
Jijel,El Aouana,12,2008
Jijel,El Kennar Nouchfi,1,2008
Jijel,El Milia,33,2008
Jijel,Emir Abdelkader,1,2008
Jijel,Erraguene,103,2008
Jijel,Ghebala,5,2008
Jijel,Jijel,22,2008
Jijel,Kheir Oued Adjoul,1,2008
Jijel,Kouas,3,2008
Jijel,Oudjana,7,2008
Jijel,Ouled Rabah,0,2008
Jijel,Ouled Yahia Khadrouche,0,2008
Jijel,Selma Benziada,5,2008
Jijel,Settara,2,2008
Jijel,Sidi Abdelaziz,1,2008
Jijel,Sidi Marouf,0,2008
Jijel,Taher,0,2008
Jijel,Texenna,40,2008
Jijel,Ziama Mansouria,7,2008
Jijel,Bordj Tahar,2,2009
Jijel,Boudria Beniyadjis,13,2009
Jijel,Bouraoui Belhadef,0,2009
Jijel,Boussif Ouled Askeur,13,2009
Jijel,Chahna,29,2009
Jijel,Chekfa,1,2009
Jijel,Djemaa Beni Habibi,0,2009
Jijel,Djemila,10,2009
Jijel,El Ancer,11,2009
Jijel,El Aouana,50,2009
Jijel,El Kennar Nouchfi,1,2009
Jijel,El Milia,93,2009
Jijel,Emir Abdelkader,0,2009
Jijel,Erraguene,32,2009
Jijel,Ghebala,11,2009
Jijel,Jijel,26,2009
Jijel,Kheir Oued Adjoul,0,2009
Jijel,Kouas,0,2009
Jijel,Oudjana,10,2009
Jijel,Ouled Rabah,1,2009
Jijel,Ouled Yahia Khadrouche,4,2009
Jijel,Selma Benziada,58,2009
Jijel,Settara,9,2009
Jijel,Sidi Abdelaziz,2,2009
Jijel,Sidi Marouf,0,2009
Jijel,Taher,0,2009
Jijel,Texenna,76,2009
Jijel,Ziama Mansouria,190,2009
Jijel,Bordj Tahar,1,2010
Jijel,Boudria Beniyadjis,5,2010
Jijel,Bouraoui Belhadef,1,2010
Jijel,Boussif Ouled Askeur,1,2010
Jijel,Chahna,1,2010
Jijel,Chekfa,1,2010
Jijel,Djemaa Beni Habibi,0,2010
Jijel,Djemila,0,2010
Jijel,El Ancer,2,2010
Jijel,El Aouana,6,2010
Jijel,El Kennar Nouchfi,0,2010
Jijel,El Milia,25,2010
Jijel,Emir Abdelkader,0,2010
Jijel,Erraguene,1,2010
Jijel,Ghebala,0,2010
Jijel,Jijel,4,2010
Jijel,Kheir Oued Adjoul,1,2010
Jijel,Kouas,0,2010
Jijel,Oudjana,0,2010
