SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,TC_LOSS_HA_2017,TC_LOSS_HA_2018
ADRAR,TAMANTIT,25,699565,0,0
ADRAR,TAMANTIT,30,699565,0,0
ADRAR,TAMANTIT,50,699565,0,0
ADRAR,TAMANTIT,75,699565,0,0
ADRAR,TAMEKTEN,10,1829798,0,0
ADRAR,TAMEKTEN,15,1829798,0,0
ADRAR,TAMEKTEN,20,1829798,0,0
ADRAR,TAMEKTEN,25,1829798,0,0
ADRAR,TAMEKTEN,30,1829798,0,0
ADRAR,TAMEKTEN,50,1829798,0,0
ADRAR,TAMEKTEN,75,1829798,0,0
ADRAR,TAMEST,10,682208,0,0
ADRAR,TAMEST,15,682208,0,0
ADRAR,TAMEST,20,682208,0,0
ADRAR,TAMEST,25,682208,0,0
ADRAR,TAMEST,30,682208,0,0
ADRAR,TAMEST,50,682208,0,0
ADRAR,TAMEST,75,682208,0,0
ADRAR,TIMIAOUINE,10,1257998,0,0
ADRAR,TIMIAOUINE,15,1257998,0,0
ADRAR,TIMIAOUINE,20,1257998,0,0
ADRAR,TIMIAOUINE,25,1257998,0,0
ADRAR,TIMIAOUINE,30,1257998,0,0
ADRAR,TIMIAOUINE,50,1257998,0,0
ADRAR,TIMIAOUINE,75,1257998,0,0
ADRAR,TIMMIMOUN,10,976583,0,0
ADRAR,TIMMIMOUN,15,976583,0,0
ADRAR,TIMMIMOUN,20,976583,0,0
ADRAR,TIMMIMOUN,25,976583,0,0
ADRAR,TIMMIMOUN,30,976583,0,0
ADRAR,TIMMIMOUN,50,976583,0,0
ADRAR,TIMMIMOUN,75,976583,0,0
ADRAR,TINERKOUK,10,2013824,0,0
ADRAR,TINERKOUK,15,2013824,0,0
ADRAR,TINERKOUK,20,2013824,0,0
ADRAR,TINERKOUK,25,2013824,0,0
ADRAR,TINERKOUK,30,2013824,0,0
ADRAR,TINERKOUK,50,2013824,0,0
ADRAR,TINERKOUK,75,2013824,0,0
ADRAR,TIT,10,164459,0,0
ADRAR,TIT,15,164459,0,0
ADRAR,TIT,20,164459,0,0
ADRAR,TIT,25,164459,0,0
ADRAR,TIT,30,164459,0,0
ADRAR,TIT,50,164459,0,0
ADRAR,TIT,75,164459,0,0
ADRAR,TSABIT,10,1455503,0,0
ADRAR,TSABIT,15,1455503,0,0
ADRAR,TSABIT,20,1455503,0,0
ADRAR,TSABIT,25,1455503,0,0
ADRAR,TSABIT,30,1455503,0,0
ADRAR,TSABIT,50,1455503,0,0
ADRAR,TSABIT,75,1455503,0,0
ADRAR,ZAOUIET KOUNTA,10,905243,0,0
ADRAR,ZAOUIET KOUNTA,15,905243,0,0
ADRAR,ZAOUIET KOUNTA,20,905243,0,0
ADRAR,ZAOUIET KOUNTA,25,905243,0,0
ADRAR,ZAOUIET KOUNTA,30,905243,0,0
ADRAR,ZAOUIET KOUNTA,50,905243,0,0
ADRAR,ZAOUIET KOUNTA,75,905243,0,0
ALGER,AIN BENIAN,10,2334,0,0
ALGER,AIN BENIAN,15,2334,0,0
ALGER,AIN BENIAN,20,2334,0,0
ALGER,AIN BENIAN,25,2334,0,0
ALGER,AIN BENIAN,30,2334,0,0
ALGER,AIN BENIAN,50,2334,0,0
ALGER,AIN BENIAN,75,2334,0,0
ALGER,BARAKI,10,2667,0,1
ALGER,BARAKI,15,2667,0,1
ALGER,BARAKI,20,2667,0,1
ALGER,BARAKI,25,2667,0,0
ALGER,BARAKI,30,2667,0,0
ALGER,BARAKI,50,2667,0,0
ALGER,BARAKI,75,2667,0,0
ALGER,BIRTOUTA,10,2714,0,0
ALGER,BIRTOUTA,15,2714,0,0
ALGER,BIRTOUTA,20,2714,0,0
ALGER,BIRTOUTA,25,2714,0,0
ALGER,BIRTOUTA,30,2714,0,0
ALGER,BIRTOUTA,50,2714,0,0
ALGER,BIRTOUTA,75,2714,0,0
ALGER,BORDJ EL KIFFAN,10,5061,0,0
ALGER,BORDJ EL KIFFAN,15,5061,0,0
ALGER,BORDJ EL KIFFAN,20,5061,0,0
ALGER,BORDJ EL KIFFAN,25,5061,0,0
ALGER,BORDJ EL KIFFAN,30,5061,0,0
ALGER,BORDJ EL KIFFAN,50,5061,0,0
ALGER,BORDJ EL KIFFAN,75,5061,0,0
ALGER,BOUZAREAH,10,4492,2,1
ALGER,BOUZAREAH,15,4492,2,0
ALGER,BOUZAREAH,20,4492,1,0
ALGER,BOUZAREAH,25,4492,1,0
ALGER,BOUZAREAH,30,4492,1,0
ALGER,BOUZAREAH,50,4492,0,0
ALGER,BOUZAREAH,75,4492,0,0
ALGER,CHERAGA,10,3677,0,0
ALGER,CHERAGA,15,3677,0,0
ALGER,CHERAGA,20,3677,0,0
ALGER,CHERAGA,25,3677,0,0
ALGER,CHERAGA,30,3677,0,0
ALGER,CHERAGA,50,3677,0,0
ALGER,CHERAGA,75,3677,0,0
ALGER,DAR EL BEIDA,10,3916,1,0
ALGER,DAR EL BEIDA,15,3916,1,0
ALGER,DAR EL BEIDA,20,3916,1,0
ALGER,DAR EL BEIDA,25,3916,1,0
ALGER,DAR EL BEIDA,30,3916,1,0
ALGER,DAR EL BEIDA,50,3916,0,0
ALGER,DAR EL BEIDA,75,3916,0,0
ALGER,DJASR KASENTINA,10,2706,0,0
ALGER,DJASR KASENTINA,15,2706,0,0
ALGER,DJASR KASENTINA,20,2706,0,0
ALGER,DJASR KASENTINA,25,2706,0,0
ALGER,DJASR KASENTINA,30,2706,0,0
ALGER,DJASR KASENTINA,50,2706,0,0
ALGER,DJASR KASENTINA,75,2706,0,0
ALGER,DOUERA,10,5777,1,0
ALGER,DOUERA,15,5777,1,0
ALGER,DOUERA,20,5777,1,0
ALGER,DOUERA,25,5777,0,0
ALGER,DOUERA,30,5777,0,0
ALGER,DOUERA,50,5777,0,0
ALGER,DOUERA,75,5777,0,0
ALGER,DRARIA,10,1065,0,0
ALGER,DRARIA,15,1065,0,0
ALGER,DRARIA,20,1065,0,0
ALGER,DRARIA,25,1065,0,0
ALGER,DRARIA,30,1065,0,0
ALGER,DRARIA,50,1065,0,0
ALGER,DRARIA,75,1065,0,0
ALGER,EL ACHOUR,10,2168,0,0
ALGER,EL ACHOUR,15,2168,0,0
ALGER,EL ACHOUR,20,2168,0,0
ALGER,EL ACHOUR,25,2168,0,0
ALGER,EL ACHOUR,30,2168,0,0
ALGER,EL ACHOUR,50,2168,0,0
ALGER,EL ACHOUR,75,2168,0,0
ALGER,HARAOUA,10,2124,0,0
ALGER,HARAOUA,15,2124,0,0
ALGER,HARAOUA,20,2124,0,0
ALGER,HARAOUA,25,2124,0,0
ALGER,HARAOUA,30,2124,0,0
ALGER,HARAOUA,50,2124,0,0
ALGER,HARAOUA,75,2124,0,0
ALGER,KHRAICIA,10,1521,0,1
ALGER,KHRAICIA,15,1521,0,1
ALGER,KHRAICIA,20,1521,0,1
ALGER,KHRAICIA,25,1521,0,1
ALGER,KHRAICIA,30,1521,0,0
ALGER,KHRAICIA,50,1521,0,0
ALGER,KHRAICIA,75,1521,0,0
ALGER,KOUBA,10,2782,0,1
ALGER,KOUBA,15,2782,0,0
ALGER,KOUBA,20,2782,0,0
ALGER,KOUBA,25,2782,0,0
ALGER,KOUBA,30,2782,0,0
ALGER,KOUBA,50,2782,0,0
ALGER,KOUBA,75,2782,0,0
ALGER,LES EUCALYPTUS,10,4239,0,0
ALGER,LES EUCALYPTUS,15,4239,0,0
ALGER,LES EUCALYPTUS,20,4239,0,0
ALGER,LES EUCALYPTUS,25,4239,0,0
ALGER,LES EUCALYPTUS,30,4239,0,0
ALGER,LES EUCALYPTUS,50,4239,0,0
ALGER,LES EUCALYPTUS,75,4239,0,0
ALGER,MAHELMA,10,3396,0,0
ALGER,MAHELMA,15,3396,0,0
ALGER,MAHELMA,20,3396,0,0
ALGER,MAHELMA,25,3396,0,0
ALGER,MAHELMA,30,3396,0,0
ALGER,MAHELMA,50,3396,0,0
ALGER,MAHELMA,75,3396,0,0
ALGER,OULED CHEBEL,10,2935,0,0
ALGER,OULED CHEBEL,15,2935,0,0
ALGER,OULED CHEBEL,20,2935,0,0
ALGER,OULED CHEBEL,25,2935,0,0
ALGER,OULED CHEBEL,30,2935,0,0
ALGER,OULED CHEBEL,50,2935,0,0
ALGER,OULED CHEBEL,75,2935,0,0
ALGER,OULED FAYET,10,1823,0,1
ALGER,OULED FAYET,15,1823,0,1
ALGER,OULED FAYET,20,1823,0,0
ALGER,OULED FAYET,25,1823,0,0
ALGER,OULED FAYET,30,1823,0,0
ALGER,OULED FAYET,50,1823,0,0
ALGER,OULED FAYET,75,1823,0,0
ALGER,REGHAIA,10,2697,0,0
ALGER,REGHAIA,15,2697,0,0
ALGER,REGHAIA,20,2697,0,0
ALGER,REGHAIA,25,2697,0,0
ALGER,REGHAIA,30,2697,0,0
ALGER,REGHAIA,50,2697,0,0
ALGER,REGHAIA,75,2697,0,0
ALGER,ROUIBA,10,4123,0,0
ALGER,ROUIBA,15,4123,0,0
ALGER,ROUIBA,20,4123,0,0
ALGER,ROUIBA,25,4123,0,0
ALGER,ROUIBA,30,4123,0,0
ALGER,ROUIBA,50,4123,0,0
ALGER,ROUIBA,75,4123,0,0
ALGER,SAOULA,10,2081,0,5
ALGER,SAOULA,15,2081,0,4
ALGER,SAOULA,20,2081,0,4
ALGER,SAOULA,25,2081,0,4
ALGER,SAOULA,30,2081,0,3
ALGER,SAOULA,50,2081,0,1
ALGER,SAOULA,75,2081,0,0
ALGER,SIDI MOUSSA,10,3963,0,1
ALGER,SIDI MOUSSA,15,3963,0,0
ALGER,SIDI MOUSSA,20,3963,0,0
ALGER,SIDI MOUSSA,25,3963,0,0
ALGER,SIDI MOUSSA,30,3963,0,0
ALGER,SIDI MOUSSA,50,3963,0,0
ALGER,SIDI MOUSSA,75,3963,0,0
ALGER,SOUIDANIA,10,1368,0,0
ALGER,SOUIDANIA,15,1368,0,0
ALGER,SOUIDANIA,20,1368,0,0
ALGER,SOUIDANIA,25,1368,0,0
ALGER,SOUIDANIA,30,1368,0,0
ALGER,SOUIDANIA,50,1368,0,0
ALGER,SOUIDANIA,75,1368,0,0
ALGER,STAOUELI,10,2201,0,1
ALGER,STAOUELI,15,2201,0,1
ALGER,STAOUELI,20,2201,0,1
ALGER,STAOUELI,25,2201,0,1
ALGER,STAOUELI,30,2201,0,1
ALGER,STAOUELI,50,2201,0,0
ALGER,STAOUELI,75,2201,0,0
ALGER,TESSALA-EL-MERDJA,10,2048,1,0
ALGER,TESSALA-EL-MERDJA,15,2048,1,0
ALGER,TESSALA-EL-MERDJA,20,2048,1,0
ALGER,TESSALA-EL-MERDJA,25,2048,0,0
ALGER,TESSALA-EL-MERDJA,30,2048,0,0
ALGER,TESSALA-EL-MERDJA,50,2048,0,0
ALGER,TESSALA-EL-MERDJA,75,2048,0,0
ALGER,ZERALDA,10,3036,0,0
ALGER,ZERALDA,15,3036,0,0
ALGER,ZERALDA,20,3036,0,0
ALGER,ZERALDA,25,3036,0,0
ALGER,ZERALDA,30,3036,0,0
ALGER,ZERALDA,50,3036,0,0
ALGER,ZERALDA,75,3036,0,0
ANNABA,AIN EL BERDA,10,13749,88,7
ANNABA,AIN EL BERDA,15,13749,85,7
ANNABA,AIN EL BERDA,20,13749,84,7
ANNABA,AIN EL BERDA,25,13749,82,7
ANNABA,AIN EL BERDA,30,13749,80,7
ANNABA,AIN EL BERDA,50,13749,44,3
ANNABA,AIN EL BERDA,75,13749,9,1
ANNABA,ANNABA,10,4887,42,2
ANNABA,ANNABA,15,4887,39,2
ANNABA,ANNABA,20,4887,38,1
ANNABA,ANNABA,25,4887,36,1
ANNABA,ANNABA,30,4887,34,1
ANNABA,ANNABA,50,4887,18,1
ANNABA,ANNABA,75,4887,4,0
ANNABA,BERRAHAL,10,18025,6,12
ANNABA,BERRAHAL,15,18025,6,11
ANNABA,BERRAHAL,20,18025,6,11
ANNABA,BERRAHAL,25,18025,5,11
ANNABA,BERRAHAL,30,18025,5,10
ANNABA,BERRAHAL,50,18025,3,8
ANNABA,BERRAHAL,75,18025,0,1
ANNABA,CHETAIBI,10,13423,150,48
ANNABA,CHETAIBI,15,13423,148,48
ANNABA,CHETAIBI,20,13423,147,48
ANNABA,CHETAIBI,25,13423,146,48
ANNABA,CHETAIBI,30,13423,144,47
ANNABA,CHETAIBI,50,13423,119,43
ANNABA,CHETAIBI,75,13423,66,27
ANNABA,CHORFA,10,9796,1,2
ANNABA,CHORFA,15,9796,1,2
ANNABA,CHORFA,20,9796,1,2
ANNABA,CHORFA,25,9796,1,2
ANNABA,CHORFA,30,9796,1,1
ANNABA,CHORFA,50,9796,0,0
ANNABA,CHORFA,75,9796,0,0
ANNABA,EL BOUNI,10,9260,267,7
ANNABA,EL BOUNI,15,9260,263,7
ANNABA,EL BOUNI,20,9260,260,7
ANNABA,EL BOUNI,25,9260,257,7
ANNABA,EL BOUNI,30,9260,255,6
ANNABA,EL BOUNI,50,9260,244,6
ANNABA,EL BOUNI,75,9260,193,5
ANNABA,EL EULMA,10,16110,262,51
ANNABA,EL EULMA,15,16110,244,48
ANNABA,EL EULMA,20,16110,236,47
