SUBNATIONAL1,SUBNATIONAL2,TC_LOSS_HA_,ANNEE
JIJEL,EL ANCER,22,2006
JIJEL,EL AOUANA,4,2006
JIJEL,EL KENNAR NOUCHFI,1,2006
JIJEL,EL MILIA,67,2006
JIJEL,EMIR ABDELKADER,1,2006
JIJEL,ERRAGUENE,7,2006
JIJEL,GHEBALA,2,2006
JIJEL,JIJEL,7,2006
JIJEL,KHEIR OUED ADJOUL,3,2006
JIJEL,KOUAS,0,2006
JIJEL,OUDJANA,6,2006
JIJEL,OULED RABAH,2,2006
JIJEL,OULED YAHIA KHADROUCHE,1,2006
JIJEL,SELMA BENZIADA,6,2006
JIJEL,SETTARA,10,2006
JIJEL,SIDI ABDELAZIZ,3,2006
JIJEL,SIDI MAROUF,1,2006
JIJEL,TAHER,0,2006
JIJEL,TEXENNA,2,2006
JIJEL,ZIAMA MANSOURIA,10,2006
JIJEL,BORDJ TAHAR,0,2007
JIJEL,BOUDRIA BENIYADJIS,0,2007
JIJEL,BOURAOUI BELHADEF,11,2007
JIJEL,BOUSSIF OULED ASKEUR,9,2007
JIJEL,CHAHNA,5,2007
JIJEL,CHEKFA,10,2007
JIJEL,DJEMAA BENI HABIBI,0,2007
JIJEL,DJEMILA,0,2007
JIJEL,EL ANCER,5,2007
JIJEL,EL AOUANA,20,2007
JIJEL,EL KENNAR NOUCHFI,2,2007
JIJEL,EL MILIA,50,2007
JIJEL,EMIR ABDELKADER,3,2007
JIJEL,ERRAGUENE,4,2007
JIJEL,GHEBALA,11,2007
JIJEL,JIJEL,14,2007
JIJEL,KHEIR OUED ADJOUL,0,2007
JIJEL,KOUAS,7,2007
JIJEL,OUDJANA,12,2007
JIJEL,OULED RABAH,0,2007
JIJEL,OULED YAHIA KHADROUCHE,0,2007
JIJEL,SELMA BENZIADA,0,2007
JIJEL,SETTARA,8,2007
JIJEL,SIDI ABDELAZIZ,0,2007
JIJEL,SIDI MAROUF,0,2007
JIJEL,TAHER,0,2007
JIJEL,TEXENNA,53,2007
JIJEL,ZIAMA MANSOURIA,5,2007
JIJEL,BORDJ TAHAR,1,2008
JIJEL,BOUDRIA BENIYADJIS,12,2008
JIJEL,BOURAOUI BELHADEF,3,2008
JIJEL,BOUSSIF OULED ASKEUR,77,2008
JIJEL,CHAHNA,7,2008
JIJEL,CHEKFA,4,2008
JIJEL,DJEMAA BENI HABIBI,1,2008
JIJEL,DJEMILA,2,2008
JIJEL,EL ANCER,2,2008
JIJEL,EL AOUANA,12,2008
JIJEL,EL KENNAR NOUCHFI,1,2008
JIJEL,EL MILIA,33,2008
JIJEL,EMIR ABDELKADER,1,2008
JIJEL,ERRAGUENE,103,2008
JIJEL,GHEBALA,5,2008
JIJEL,JIJEL,22,2008
JIJEL,KHEIR OUED ADJOUL,1,2008
JIJEL,KOUAS,3,2008
JIJEL,OUDJANA,7,2008
JIJEL,OULED RABAH,0,2008
JIJEL,OULED YAHIA KHADROUCHE,0,2008
JIJEL,SELMA BENZIADA,5,2008
JIJEL,SETTARA,2,2008
JIJEL,SIDI ABDELAZIZ,1,2008
JIJEL,SIDI MAROUF,0,2008
JIJEL,TAHER,0,2008
JIJEL,TEXENNA,40,2008
JIJEL,ZIAMA MANSOURIA,7,2008
JIJEL,BORDJ TAHAR,2,2009
JIJEL,BOUDRIA BENIYADJIS,13,2009
JIJEL,BOURAOUI BELHADEF,0,2009
JIJEL,BOUSSIF OULED ASKEUR,13,2009
JIJEL,CHAHNA,29,2009
JIJEL,CHEKFA,1,2009
JIJEL,DJEMAA BENI HABIBI,0,2009
JIJEL,DJEMILA,10,2009
JIJEL,EL ANCER,11,2009
JIJEL,EL AOUANA,50,2009
JIJEL,EL KENNAR NOUCHFI,1,2009
