COUNTRY,SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,EXTENT_2000_HA,EXTENT_2010_HA,GAIN_2000_2012_HA,TC_LOSS_HA_2001,TC_LOSS_HA_2002,TC_LOSS_HA_2003,TC_LOSS_HA_2004,TC_LOSS_HA_2005,TC_LOSS_HA_2006,TC_LOSS_HA_2007,TC_LOSS_HA_2008,TC_LOSS_HA_2009,TC_LOSS_HA_2010,TC_LOSS_HA_2011,TC_LOSS_HA_2012,TC_LOSS_HA_2013,TC_LOSS_HA_2014,TC_LOSS_HA_2015,TC_LOSS_HA_2016,TC_LOSS_HA_2017,TC_LOSS_HA_2018
ALGERIA,ALGER,LES EUCALYPTUS,10,4239,99,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
ALGERIA,ALGER,MAHELMA,10,3396,345,311,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0
ALGERIA,ALGER,OULED CHEBEL,10,2935,355,136,0,0,0,0,4,0,0,0,2,1,0,0,0,1,0,0,1,0,0
ALGERIA,ALGER,OULED FAYET,10,1823,36,39,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ALGERIA,ALGER,REGHAIA,10,2697,140,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ALGERIA,ALGER,ROUIBA,10,4123,86,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
ALGERIA,ALGER,SAOULA,10,2081,191,150,7,0,0,1,1,1,0,1,3,1,0,0,0,1,2,1,0,0,5
ALGERIA,ALGER,SIDI MOUSSA,10,3963,441,167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
ALGERIA,ALGER,SOUIDANIA,10,1368,79,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,ALGER,STAOUELI,10,2201,299,260,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
ALGERIA,ALGER,TESSALA-EL-MERDJA,10,2048,151,70,0,0,0,0,0,0,2,4,2,6,2,2,3,1,3,0,0,1,0
ALGERIA,ALGER,ZERALDA,10,3036,464,451,2,1,0,0,0,0,0,1,0,0,1,0,1,0,2,1,1,0,0
ALGERIA,ANNABA,AIN EL BERDA,10,13749,2636,1804,146,23,14,4,8,5,3,62,43,56,122,120,3,22,68,9,62,88,7
ALGERIA,ANNABA,ANNABA,10,4887,975,996,40,0,5,0,1,1,3,0,4,0,5,11,8,5,20,9,19,42,2
ALGERIA,ANNABA,BERRAHAL,10,18025,2221,2627,44,15,3,3,2,5,1,3,3,2,5,1,0,2,2,3,2,6,12
ALGERIA,ANNABA,CHETAIBI,10,13423,10564,10191,205,2,3,8,16,15,21,10,56,53,45,10,448,60,45,29,44,150,48
ALGERIA,ANNABA,CHORFA,10,9796,681,497,95,2,7,1,1,0,1,10,6,22,3,11,2,4,13,1,3,1,2
ALGERIA,ANNABA,EL BOUNI,10,9260,1579,1821,174,1,5,1,6,3,0,0,1,0,2,1,74,15,32,10,16,267,7
ALGERIA,ANNABA,EL EULMA,10,16110,4614,3178,161,7,22,6,8,9,19,58,37,58,7,79,135,298,88,7,124,262,51
ALGERIA,ANNABA,EL HADJAR,10,6291,165,86,2,0,0,0,0,0,3,10,0,0,0,1,0,0,0,0,5,1,0
